,title,lyrics
0,1° de Julho," Eu vejo que aprendi O quanto te ensinei E é nos teus braços que ele vai saber Não há por que voltar Não penso em te seguir Não quero mais a tua insensatez O que fazes sem pensar aprendeste do olhar E das palavras que guardei pra ti Não penso em me vingar Não sou assim A tua insegurança era por mim Não basta o compromisso Vale mais o coração Já que não me entendes, não me julgues Não me tentes O que sabes fazer agora Veio tudo de nossas horas Eu não minto, eu não sou assim Ninguém sabia e ninguém viu Que eu estava a teu lado então Sou fera, sou bicho, sou anjo e sou mulher Minha mãe e minha filha Minha irmã, minha menina Mas sou minha, só minha e não de quem quiser Sou Deus, tua Deusa, meu amor Alguma coisa aconteceu Do ventre nasce um novo coração Não penso em me vingar (nã nã nã não) Não sou assim A tua insegurança era por mim Não basta o compromisso Vale mais o coração Ninguém sabia e ninguém viu Que eu estava ao teu lado então Sou fera, sou bicho, sou anjo e sou mulher Sou minha mãe e minha filha Minha irmã, minha menina Mas sou minha, só minha e não de quem quiser Sou Deus, tua deusa, meu amor Baby, baby, baby, baby Yeah! O que fazes por sonhar É o mundo que virá, pra ti.. Para mim Vamos descobrir o mundo juntos, baby Quero aprender com o teu pequeno grande coração Meu amor, meu amor Baby"
1,1965 (Duas Tribos)," Vou passar Quero ver Volta aqui Vem você Como foi? Nem sentiu Se era falso Ou fevereiro Temos paz Temos tempo Chegou a hora E agora é aqui Cortaram meus braços Cortaram minhas mãos Cortaram minhas pernas Num dia de verão Num dia de verão Num dia de verão Podia ser meu pai Podia ser meu irmão Não se esqueça Temos sorte E agora é aqui Quando querem transformar Dignidade em doença? Quando querem transformar Inteligência em traição? Quando querem transformar Estupidez em recompensa? Quando querem transformar Esperança em maldição? É o bem contra o mal E você de que lado está? Estou do lado do bem E você de que lado está? Estou do lado do bem Com a luz e com os anjos Mataram um menino Tinha arma de verdade Tinha arma nenhuma Tinha arma de brinquedo Eu tenho autorama Eu tenho Hanna-Barbera Eu tenho pera, uva e maçã Eu tenho Guanabara E modelos revell O Brasil é o país do futuro O Brasil é o país do futuro O Brasil é o país do futuro O Brasil é o país Em toda e qualquer situação Eu quero tudo pra cima Pra cima, pra cima"
2,1977, Todos os dias quando acordo de manhã Não tenho mais o tempo do dia que passou Mas tenho muito tempo Para acabar com essa indecisão De ter a sinceridade em perigo Todos os dias tento chegar em algum lugar Só pra depois dizer que não quero ficar lá Não é coincidência Essa minha indiferença É que está me faltando motivo Responsabilidade me deixa sem saber Qual é a interferência Ou como deve ser Todos os dias quando eu deito pra dormir Fico pensando em todas as coisas que eu não fiz Quando penso no futuro Sempre com uma leve preocupação De não lembrar qual foi o aviso Todos os dias quando eu tento esquecer Todas as coisas que eu não quero mais fazer É só inconsequência O tempo continua com ou sem ação E eu não consigo ficar indeciso Pontos de referência Perdi meu referencial E quase como sempre não foi proposital 1977 Quero ficar na cidade ou não? Começaram a brincar com Eletricidade Quero ficar nessa idade ou não? 1977 Quero ficar na cidade ou não? Começaram a brincar com Eletricidade Quero ficar nessa idade ou não?
3,A Canção Do Senhor Da Guerra," Existe alguém esperando por você Que vai comprar a sua juventude E convencê-lo a vencer Mais uma guerra sem razão Já são tantas as crianças Com armas na mão Mas explicam novamente que a guerra Gera empregos, aumenta a produção Uma guerra sempre avança a tecnologia Mesmo sendo guerra santa Quente, morna ou fria Pra que exportar comida se as armas Dão mais lucros na exportação? Existe alguém que está contando com você Pra lutar em seu lugar já que nessa guerra Não é ele quem vai morrer E quando longe de casa Ferido e com frio O inimigo você espera Ele estará com outros velhos Inventando novos jogos de guerra Que belíssimas cenas de destruição Não teremos mais problemas Com a superpopulação Veja que uniforme lindo fizemos pra você E lembre-se sempre que: Deus está do lado de quem vai vencer O senhor da guerra não gosta de crianças O senhor da guerra não gosta de crianças O senhor da guerra não gosta de crianças O senhor da guerra não gosta de crianças O senhor da guerra não gosta de crianças O senhor da guerra não gosta de crianças"
4,A Cruz e a Espada," Havia um tempo, em que eu vivia Um sentimento quase infantil Havia o medo e a timidez Todo um lado que você nunca viu Agora eu vejo, aquele beijo Era mesmo o fim Era o começo que o meu desejo Se perdeu de mim E agora eu ando Correndo tanto Procurando aquele novo lugar Aquela festa O que me resta Encontrar alguém legal pra ficar Agora eu vejo, aquele beijo Era mesmo o fim Era o começo que o meu desejo Se perdeu de mim Agora eu vejo, aquele beijo Era mesmo o fim Era o começo que o meu desejo Se perdeu de mim E agora é tarde Acordo tarde Do meu lado alguém que eu nem conhecia Outra criança adulterada Pelos anos que a pintura escondia Agora eu vejo, aquele beijo Era o fim, o fim Era o começo que o meu desejo Se perdeu de mim Agora eu vejo, aquele beijo Era mesmo o fim Era o começo que o meu desejo Se perdeu de mim"
5,A Dança, Não sei o que é direito Só vejo preconceito E a sua roupa nova É só uma roupa nova Você não tem ideias Pra acompanhar a moda Tratando as meninas Como se fossem lixo Ou então espécie rara Só a você pertence Ou então espécie rara Que você não respeita Ou então espécie rara Que é só um objeto Pra usar e jogar fora Depois de ter prazer Você é tão moderno Se acha tão moderno Mas é igual a seus pais É só questão de idade Passando dessa fase Tanto fez e tanto faz Você com as suas drogas E as suas teorias E a sua rebeldia E a sua solidão Vive com seus excessos Mas não tem mais dinheiro Pra comprar outra fuga Sair de casa então Então é outra festa É outra sexta-feira Que se dane o futuro Você tem a vida inteira Você é tão esperto Você está tão certo Mas você nunca dançou Com ódio de verdade Você é tão esperto Você está tão certo Que você nunca vai errar Mas a vida deixa marcas Tenha cuidado Se um dia você dançar Nós somos tão modernos Só não somos sinceros Nos escondemos mais e mais É só questão de idade Passando dessa fase Tanto fez e tanto faz Você é tão esperto Você está tão certo Que você nunca vai errar Mas a vida deixa marcas Tenha cuidado Se um dia você dançar
6,A Fonte," O que há de errado comigo Não consigo encontrar abrigo Meu país é campo inimigo E você finge que vê, mas não vê Lave suas mãos que é à sua porta que irão bater Mas antes você verá seus pequenos filhos trazendo novidades Quantas crianças foram mortas dessa vez? Não faça com os outros o que você não quer Que seja feito com você Você finge não ver e isso dá câncer Não sei mais do que sou capaz Esperança, teus lençois têm cheiro de doença E veja que da fonte sou os quilômetros adiante Celebro todo dia Minha vida e meus amigos Eu acredito em mim E continuo limpo Você acha que sabe Mas você não vê que a maldade é prejuizo O que há de errado comigo? Eu não sei nada e continuo limpo Ao lado do cipreste branco À esquerda da entrada do inferno Está a fonte do esquecimento Vou mais além,não bebo dessa água Chego ao lago da memória Que tem água pura e fresca E digo aos guardiões da entrada ""Sou filho da Terra e do Céu"" Dai-me de beber, que tenho uma sede sem fim Olhe nos meus olhos, sou o homem-tocha Me tira essa vergonha, me liberta dessa culpa Me arranca esse ódio, me livra desse medo Olhe nos meus olhos, sou o homem-tocha E esta é uma canção de amor E esta é uma canção de amor"
7,A Montanha Mágica," Sou meu próprio líder, ando em círculos Me equilibro entre dias e noites Minha vida toda espera algo de mim Meio-sorriso, meia-lua, toda tarde Minha papoula da Índia Minha flor da Tailândia És o que tenho de suave E me fazes tão mal Ficou logo o que tinha ido embora Estou só um pouco cansado Não sei se isto termina logo Meu joelho dói E não há nada a fazer agora Para que servem os anjos? A felicidade mora aqui comigo até segunda ordem Um outro agora vive minha vida Sei o que ele sonha, pensa e sente Não é coincidência a minha indiferença Sou uma cópia do que faço O que temos é o que nos resta E estamos querendo demais Minha papoula da Índia Minha flor da Tailândia És o que tenho de suave E me fazes tão mal Existe um descontrole, que corrompe e cresce Pode até ser, mas estou pronto pra mais uma O que é que desvirtua e ensina? O que fizemos de nossas próprias vidas O mecanismo da amizade A matemática dos amantes Agora só artesanato O resto são escombros Mas é claro que não vamos lhe fazer mal Nem é por isso que estamos aqui Cada criança com seu próprio canivete Cada líder com seu próprio 38 Minha papoula da Índia Minha flor da Tailândia Chega, vou mudar a minha vida Deixa o copo encher até a borda Que eu quero um dia de sol Num copo d'água"
8,A Montanha Mágica / You've Lost That Lovin' Feelin' / Jealous Guy / Ticket To Ride," You never close your eyes anymore when I kiss your lips And there's no tenderness like before in your fingertips You're trying hard not to show it, baby, baby But I say baby, baby You've lost that lovin' feelin' Whoa, that lovin' feelin' You've lost that lovin' feelin' Now it's gone, gone, gone Sou meu próprio líder: ando em círculos Me equilibro entre dias e noites Minha vida toda espera algo de mim Meio-sorriso, meia-lua, toda tarde Minha papoula da Índia Minha flor da Tailândia És o que tenho de suave E me fazes tão mal Ficou logo o que tinha ido embora Estou só um pouco cansado Não sei se isto termina logo Meu joelho dói E não há nada a fazer agora Pra que servem os anjos? A felicidade mora aqui comigo até segunda ordem Um outro agora vive minha vida Sei o que ele sonha, pensa e sente Não é coincidência a minha indiferença Sou uma cópia do que faço O que temos é o que nos resta E estamos querendo demais Minha papoula da Índia Minha flor da Tailândia És o que tenho de suave E me fazes tão mal Existe um descontrole, que corrompe e cresce Pode até ser, mas estou pronto pra mais uma O que é que desvirtua e ensina? O que fizemos de nossas próprias vidas O mecanismo da amizade A matemática dos amantes Agora só artesanato O resto são escombros Mas é claro que não vamos lhe fazer mal Nem é por isso que estamos aqui Cada criança com seu próprio canivete Cada líder com seu próprio 38 Minha papoula da Índia Minha flor da Tailândia Chega, vou mudar a minha vida Deixa o copo encher até a borda Que eu quero um dia de sol E um copo d'água I was dreaming of the past And my heart was beating fast I began to lose control I began to lose control I didn't mean to hurt you I'm sorry that I made you cry I didn't want to hurt you I'm just a jealous guy I think I'm gonna be sad I think it's today, yeah The boy that's drivin' me mad Is goin' away Yeah He's got a ticket to ride he's got a ticket to ride he's got a ticket to ride And he don't care My baby don't care My baby don't care My babe don't care"
9,A Ordem Dos Templários (Instrumental), 
